SideCode,SiteName,RelFeatureType,RelFeatureDescription,ReligiousAffiliation,DeityName,RelFeatureDate,BasisOfDate,Sculptures?,SculptureNotes,Inscription(s)?,InscriptionText,InscriptionNotes,AssociatedFeatures,AssociatedArtefacts,SiteInterpretation,InterpretationNotes,,,,,,,,,,,,,,,,
ABL01,Ambala,Temple,"Garbhagruh, Mandap, Ardhamandap; Surya icon in garbhagruha",Brahmanical (Unknown sect),Surya,Yadava,Sculptures,Yes,Surya icon holding lotus in both hands and is seated in sukhasan position on chariot. Chariot having one wheel with seven horses,No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Surya)",None,,,,,,,,,,,,,,,,
ABL05,Ambala temples,Temple,Group of large stone temples on the southwestern side of Ambala tank,Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Multiple cave complex, Brahmanical (Unknwon sect)",None,,,,,,,,,,,,,,,,
ABL06,Ambala temple,Temple,Stone built temple on the North side of Ambala tank,Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
ABL10,Ambala temple,Temple,Stone built temple on the northeast side of Ambala tank,Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
ABL11,Ambala shrine,Temple,"Stone built shrine to the east of Ambala tank, currently housing displaced sculptural fragments",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
ABR03,Ambhora,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
ADP03,Amdapur,Temple,Unknown,Brahmanical (Unknown sect),Unknown,Yadava,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
ADS02,Adasa,Temple,"Eight Hindu temples: Temple 1 = Ganapati (Hemadpanthi style), Temple 2 = Tryambakesvara Mahadeva (Hemadpanthi style), Temple 3 = Kala Bhairava (destroyed Hemadpanthi style), Temple 4 = Devi or Ambika temple (Hemadpanthi style), Temple 5 = Maruti temple (Hemadpanthi style), Temple 6 = Another Siva temple  (Hemadpanthi style), Temple 7 = a group of four Ratha Type of temples, Temple 8 = two rathas subjoined with a samadhi (commemorative) temple",Brahmanical (Shaivite and Vaishnava),"Ganapati, Tryambakesvara Mahadeva, Kala Bhairava, Devi or Ambika, Maruti, Shiva","Temple 1 = pre-Yadava, Yadava, post-Yadava, Temple 2 = pre-Yadava, Yadava, post-Yadava, Temple 3 = early Yadava, Temple 4 = early Yadava, Temple 5 = Yadava, Temple 6 = Yadava, Temple 7 = post-Yadava, Temple 8 = post-Yadava",Sculptures and Architectural style,Yes,"Temple 1 = Ganapati, Indra, Temple 2 = Nandi, Ganesha, lingas, Temple 3 = Bhairava, Temple 4 = Devi, Temple 5 = Maruti, Temple 6 = linga, Temple 7= linga, nandi, Temple 8 = linga, nandi",Unknown,NA,NA,"Tanks, other structural remains",Scattered broken images,"Multiple temple complex, Brahmanical (multi sect)",None,,,,,,,,,,,,,,,,
AJN01,Anjani,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
AMG01,Aamgaon,Temple,Stone temples with sculptures,Brahmanical (Unknown sect),Unknown,11th-12th Century AD,Sculptures,Yes,"Brahma, Vishnu, Siva and Ugra-Narayana",Unknown,NA,NA,None,None,"Multiple temple complex, Brahmanical (multi sect)",None,,,,,,,,,,,,,,,,
AMG02,,Temple,No description,Brahmanical (Unknown sect),Unknown,11th century AD,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
AMR02,Mahadev Temple ,Temple,None,Brahmanical (Unknown sect),Unknown,13th-14th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
AMR04,Amri,Temple,"Small Hanuman temple, possibly dating to the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
ANS01,Ansing,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
ATR01,Attri,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
AYL03,Adyal,Temple,"There is a  mention of 12 x 10 ft sized Mahadev Temple in Hemadpanthi style in Adyal in the Henry Cuzzons work  ""List of Antiquarian remains in C.P and Berar"". But the exploration carried out by M Naranje couldn't locate this temple. Henry in his work further mentions the temple is constructed by using stone and bricks.",Brahmanical (Shaivite),Mahadev,Early Medieval,Architectural style,Yes,Unknown,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
BDA02,Borda,Temple,"Hanuman temple, possible dating to the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
