SiteCode,SiteName,FindType,Description,DateRecorded,BasisOfDate,InSitu?,ContextNotes,Number,Metal,Weight (g),Diameter (cm),ObverseDescription,ReverseDescription,Issuer,TypeNumber,ImageID,Note,Location
APR01,Achalpur (Ellichpur),Associated coin(s),"""Gold aureus of Septimius Severus (193-211 AD). The coin has no slash mark on the royal portrait, but it has two holes for putting thread to wear around the neck."" ",197 AD,IMP X legend indicates that it should have been struck in year 197 AD (Meshram 2008-09 (32-33): 83).,No,None,1,Coin no. 1) Gold,Coin no. 1) 7.34 gm,Coin no. 1) 20 mm,"Coin no. 1) ""L SEPT SEV PERT AVG IMP X"", head laureate right, fold of cloak on shoulder in front and behind. The object has two holes at 11.30 and 1.00 o'clock to pass a thread for using as an ornament.","Coin no. 1) ""P M TR P IIII COS II P P"", Victory advancing left holding wreath and palm.",Septimius Severus,Unknown,"Pp. 83 (ND, 32-33)",This is famous Roman coin from the Severus family. It is interesting that it is found in Vidarbha as such late coins are rare to find in this region.,In the private collection.
APR03,Achalpur (Ellichpur) ,Coin Hoard,Western India fabric,Gupta,On unspecified Numismatics ground,No,None,13,Silver,Unknown,Unknown,Unknown,Unknown,Kumaragupta I,Unknown,None,,Deposition of Coins are not known
ADM02,Adam,Coin Hoard,"These Roman Gold coins are the ""famous aurai of the imperial series"" (Kawadkar 1972: 244) and ""all coins bear Chisel Mark incised on them""(Kawadkar 1972: 246) . Coin no.1 ""belongs to Augustus-Caius Octavius Caepias, who was also known as Caius Julius Octavianus. He was born in  63 B.C. and was grand-nephew and heir of Julius Caesar. He received the title of emperor in 19 B.C. and that of Augustus in 37 B.C. He died in 14 A.D. "" (Kawadkar 1972: 244) Coin nos. 2-11 ""belong to Tiberius-Tiberius Claudius Nero -who was born in  42 B.C. and was adopted by Augustus as his heir in 3 A.D. He was married to Julia, the only child of Augustus. He spent his latter years in retirement in the island of  Capri until he was murdered probably by the orders of Catagula in 37 AD"" (Kawadkar 1972: 244-45)",1st century BC-1st century AD,Coin type and legend (Radhakrishnan 1999: 14-17),No,None,11,Gold,Coin no. 1) 7.7 gm; Coin no. 2-11) 7.4- 8 gm.  (Kawadkar 1972: 244),Coin no. 1) 2 cm; Coin no. 2-11) ranging from  1.9- 1 cm  (Kawadkar 1972: 244),"Coin no. 1) ""Head of the emperor, Laureate, r. Legend around (between XI and VIII read onward) ""AVGVSTVS"" (between V and III, read outward) ""DIVI.F."" Coin 2- 11) ""Head of the emperor, Laureate, r. Legend (between V and I read outward) ""TI CAESAR DIVI"" (between XI and VI, read outward) ""AVG.F AVGVSTVS"" (Kawadkar 1972: 244)","Coin no 1) ""Diana Venetrix (figure of the goddess Diana represented as a huntress). A dog to 1. Legend: ""IMP XII"" in centre in the exergue; ""SICIL"" below."" Coin no.  2-11) ""Livia (mother of the emperor) seated, a spear in one hand and olive (?) branch in the other. legend: ""PONTIF"" on r. ""MAXIM"" on I.""  (Kawadkar 1972: 244)",Augustus and Tiberius ,Unknown,"Plate XII 1 (JNSI XXXIV), Plate XII 2-11 (JSNI XXXIV)",Coin Hoard found during ploughing activity by a local farmer Mr Baburao Hari Ganvir of Adam in the year 1970.,"Was deposited in the sub-treasury ubder the sub-divisional Officer, Umred."
ADM03,Adam,Coin Parcel,Greek copper coins of Ptolemy IV (221-205 B.C).    ,221-205 BC,Name of the ruler in the legend,No,None,2,Copper,Coin no. 1) 52.6 gm; Coin no. 2) 68.6 gm ,"Coin no. 1 and Coin no. 2) thickness-0.5, size- 4 cm.","Coin no. 1 and Coin no. 2) ""Head of Zeus- Ammon right with curly hair and beared face.""","Coin no. 1 and Coin no. 2) ""Eagle standing laft on thunderbolt, cornucopia behind monogram between legs and legend in Greek characters ""Basilios Ptolomaio"". ",Ptolemy IV,Unknown,"Coin no. 1 and 2 (CCS News Bulletin, no. 7, pp. 2-3)",None,Unknown
ADM04,Adam,Coin Parcel,"All four coins are Circular in shape. Coin no. 3 is Mutilated and the coin is made up of silver coated base potin.  Coin no. 1 is ""reused as bulla""…..Coin no. 2 has ""delibrate slashing comparable to those in the hoard of Roman gold coins found at Adam."" (Nath 1996 (ONS, 1): 92)",Coin no. 1-3) 29 BC- 14 AD; Coin no. 4) 14-37 AD ,"Legend mention the name of the king whose lifespan is mentioned in the ""Date recorded"" Column.",Yes,"Coin no.1) ""Regd. No. 6900, Tr. No. ZF8/4, layer (1) Depth 5 cm."" Coin no.2) ""Regd. No. 8075, Tr. No. H14/1, layer (3) Depth 65 cm."" Coin no.3) ""Regd. No. 9975, Tr. No. C6/4, layer (3), depth 45 cm."" Coin no.4) ""Regd. No. 11561, Tr. No. H16/4, layer (3), depth 45 cm.""  (Nath 1996 (ONS, 1): 92-93)",4,Silver,Coin no.1) 3.7908 gram; Coin no.2) 3.4367 gram; Coin no.3) 3.0736 gram; Coin no.4) 3.3127 gram,Coin no.1) 19 mm; Coin no.2) 18.5 mm; Coin no.3) 18.5 mm; Coin no.4) 18 mm,"Coin no.1) ""Laureate head of king Augustus to right; around the flan legend left to right ""CAESAR AVGVSTVS DIVI F PATER PATRIAE""; Coin no.2) ""Laureate head of king Augustus, two slash marks over the head, legend as above""; Coin no.3) ""Laureate head of Augustus to right, legend as above""; Coin no.4) ""Laureate head of the emperor Tiberius to right and along the flan the legend left to right reads: ""T.I. CAESAR DIVI AVG. F. AVGVSTVA"". (Nath 1996 (ONS, 1): 92-93)","Coin no.1) ""Caius and lucius, veiled standing facing as left and right of two of two shields; behind two spears crossed and priestly instruments. Legend reads: ""AVGVSTI COS DESIC PRINC IVVENT"" in exergue ""C.L. CAESARES""; Coin no.2) Caius and Lucius standing, legend as above; Coin no.3) Caius and Lucius standing, legend as above; Coin no.4) Livia seated right over the throne, holding standard/ spear in her right hand, a twig of leaves in left. The legend reads: ""PONTIF MAXIM"". (Nath 1996 (ONS, 1): 92-93)","Emperor Augustus (Coin no. 1, 2, 3) and Emperor Tiberius Coin no. 4)",Unknown,"Pl.IV.1-4 (ONS, 1) ",None,ASI
AGN01,Adegaon,Coin Hoard,Silver Punch marked coin hoard of more than a kilogram in weight.,Early Historic ,Representation of Swastik and tree on the coins are similar to coins belonging to Bhadra kings (Khobragade 1999: 28; Shastri 1990: 19). Some other representations are similar to the depiction of coins on Maurya's (Khobragade 1999: 28).,No,None,Unknown,Silver,"Coin no.  1) 3.2 g, Coin no. 2) 3.3, Coin no. 3) 3.35, Coin no. 4) 3.25, Coin no. 5) 3.25, Coin no. 6) 3.1","Coin no. 1) 12 x 14mm, Coin no. 2) 12 x 18, Coin no. 3) 12 x 15, Coin no. 4) 13 x 14, Coin no. 5) 10 x 13, Coin no. 6) 12 x 13.mm",Coin no. 1-6) 5 punches of :1) sun 2) six armed symbol or sharadachakra made of alternative three arrows and three taurines 3) a triangle headed standard or indradhvaja 4) a tree with a lot of leaves and some circular fruits or flowers 5) a swastik and taurine enclosed in a box. ,Coin no. 1-6) Two deep punches consisting of 1) a triscle and 2) a dumbbell.,Unknown,Unknown,"Pp. 25 (VSM, Sept 1999)",The hoard was discovered in 1998 while digging a canal by irrigation department in the farm of Shri Maniramji Bante.,6 coins from the hoard are in the collection of Sharad Sahare.
AKL01,Akola,Associated coin(s),Coin no 2 is broken,Early Historic,Depiction of Motifs,No,None,2,Unknown,Coin no.1) 0.95 gram; Coin no.2) 0.6 gram; ,Coin no.1) 14 x 15 mm; Coin no.2) 14 x 15 mm ,"Coin no.1) ""Four punshes consisting of 1: an elephant to left, 2: bull to left, 3: two bulls yoked to the plough, 4: an oval symbol surrounded by dots""; Coin no.2) Same as Coin 1. ",Coin no.1) and  Coin no.2) Blank. ,Unknown,Unknown,"Pp 27 and 28 (NS,7)",None,In the collection of Avinash Ramteke.
AKT02,Akot,Coin Parcel,Kshatrap coin,Western Kshatrapa,On unspecified Numismatics ground,No,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,This coins were found by Shobana Gokhale while exploration.,Unknown
ARN02,Arni,Associated coin(s),"""The devices decribed…(in the Obv. and rvs Description Column)...are quite clear on the coin, as pointed out above, at left side field there are some indistinct devices which suggest that it is a restruck piece. The prescence of the nandipada (taurine) within a linear angular frame also supports it"" (Gupta 1996 (NS,4): 43).",Early Historic,Name of the King in the legend,No,None,1,Bronze,Coin no.1) 3.3 gm. ,Coin no.1) 1.8 x 1.7 cms,"Coin no.1) ""Shiva Standing facing front holding Shula and Kamandaluin his right and left hands respectively. He is adorned with jatajuta and skirt-like lower garment, probably hide of a tiger/ elephant. His legs are bent. Below the feet is seen a lotus flower in semi-circular mode. On the right top the Srivatsa and below it upper part of the tree-in -railing and further below a Nandipada (taurine), within an angular frame, placed upside down is seen. The Brahmi legend ""Rano Su(u)yama(i)tasa"" is placed on left of the Shula and is read outwardly by turning the coin at right angle towards left. This field of the coin shows some other devices which could not be made out due their being faint. The legend has become slightly crowded because of them, but could be read with a little effort."" (Gupta 1996 (NS, 4): 42).","Coin no.1) ""Wheel with eight spokes extending beyond the rim and terminating into Chhatras or arrow head. Below, a sturdy Bull walking left (head of the animal truncated) and Tree-in-railing. River symbol with a fish below the feet of the bull."" (Gupta 1996 (NS, 4): 42-43).",King Suryamitra,Unknown,"Pp 42 and 43 (NS, 4)",,The coin is in the private collection of Shri Naresh Chamedia.
ARN03,Arni,Associated coin(s),"Coin of City state ""Bhadravati"".",Early Historic,"Legend ""Bhaddavati""which suggest coins of city state that developed in Early Historic period.",No,None,2,Copper,Coin no.1) 1.58 gm; Coin no.2) 1.57 gm,Coin no.1) 1.2 x 1.3 cm; Coin no.2) 1.5 x 1.2 cm,"Coin no.1) ""A stylistic Tree in railing device placed horizontally with vedika on right, Brahmi legend consisting of four letter reading Bhaddavati"". Coin no.2) ""An Ujjain symbol framed by a double linear frame. A solitary Brahmi letter ""Ti"" near the corner but outside of the frame.""",Coin no.1) An elephant walking to right with upraised trunk. Coin no.2) A prominent device representing wheel or discuss (Chakra). It has a hub and several (probably twelve) spokes.,Unknown,Unknown,"Pp 17 and 18 (NS,7)",,"Coin is in private collection of Shri Naresh S. Chamedia, who purashased it from local Sonazaris (gold washer)."
