SiteCode,SiteName,FindType,Description,DateRecorded,BasisOfDate,InSitu?,Notes,,,,,,,,,,
APR02,Achalpur (Ellichpur) ,Sculpture (multiple) and architectural remains,"Loose sculptures of Durga, Krishna, four-armed Vishnu, Nandi and architectural members ",13th-14th century AD,Iconography,No,None,,,,,,,,,,
ABL08,Ambala,Sculpture (single),"Sculptural representation of Nandi, displaced from original context. Reported to have been discovered in the adjacent water tank.",Late Medieval,Stylistic,No,,,,,,,,,,,
ADP02,Amdapur,Inscription (unknown type),Inscription in Nagari script,Unknown,NA,Unknown,None,,,,,,,,,,
ADR01,Andhura,Inscription (copperplate),"3 plates of 1 ft 5.2 inch in length and 19.9 inch in height, tied by ring having seal square in shape; seal having depiction of Garud in centre and Ganapathi and Parvathi on either side, at bottom there is depiction of swastik and sword; Nagari script, sanskrit language",Samvat 851 (929 AD-Rashtrakut),Epigraphic evidence,No,Presently in Nagpur Central Museum,,,,,,,,,,
ADS01,Adasa,Sculpture (single),"Sculpture of Bhairav Shetrapal; 12 ft tall in ht; 8 handed- Valay, nagpash, damru, narmund, fruit, sheild, ankush, and trident; dog image",Rashtrakutta,Iconography,No,Similar to sculptures found in Kandhar and Mukhed of Marathwada region,,,,,,,,,,
AJT01,Anjanvati,Inscription (copperplate),"This copper plate inscription belongs to  Rashtrakutta king, Govind III and it is in Sanskrit language and script is similar to copper plate inscription of Paithan. This copper plate talks about donation of Anjanvati by king Govind III to 13 brahmanas.",Rashtrakut (800 AD),Epigraphic evidence,No,None,,,,,,,,,,
AMR01,Armori,Sculpture (single),"Sculpture of Swarupsundari, 7 ft 8 inch in ht.; seems to be female monkey",Pre Yadava,Iconography,No,Three hemadpanthi temples in the vicinity.,,,,,,,,,,
AYL02,Adyal,Sculpture (multiple),"Stray sculptures of
Hanuman, Nandi and some unidentified
pieces",Unknown,NA,No,None,,,,,,,,,,
AYL04,Adyal,Sculpture (single),Sculpture of Jaina Thirthankar Parshvanath,Unknown,NA,No,Found while digging the land.,,,,,,,,,,
BDG03,Beldongri,Sculpture (single),"Fragmentary stone sculpture. Badly worn, but possibly a representation of Narasimha. However, only the torso of the figure remains",Vakataka,Stylistic,No,,,,,,,,,,,
BDV01,Bhadravati,Sculpture (single),Buddha sculpture,Unknown,Unknown,No,None,,,,,,,,,,
BDV03,Bhadravati,Inscription (stone),Engraved on a dressed stone slab in local dialect and Sanskrit; records the renovation of a temple and the installation of an image of Narayana,"Saka 1248 (A.D. 1326), ",Epigraphic evidence,No,None,,,,,,,,,,
BDV06,Bhadravati,Inscription (copperplate),The copper belongs to Krishnadev I of Malkhed Branch and mentions the renovation of the Aditya temple in Udubarmanti (Possibly present village of Rani Umravati/ Rani Amravati).,Rashtrakutta (Malkhed Branch)- 694 AD,Epigraphic evidence,No,The copper plate gives the reference of seven villages of Rastrakuta time.,,,,,,,,,,
BDV07,Bhadravati,Inscription (copperplate),It records the donation of village Naganpuri by Rashtrakutta king Krishraj I. Inscription is in Sanskrit language in northern characters.,23 june 772 AD,Epigraphic evidence,No,None,,,,,,,,,,
BDV08,Bhadravati,Inscription (stone),It records the installation of Narayana icon in the temple by Jashanayak (son of Changanayak),15 November 1146 AD,Epigraphic evidence,Yes,None,,,,,,,,,,
BDV09,Bhadravati,Inscription (stone),This stone inscription is placed in the Mandapa of Bhdranath Temple of Bhadravati,1336 AD,Epigraphic evidence,Yes,None,,,,,,,,,,
BDV10,Bhadravati,Sculpture (single),Image of Surya,8th-9th century AD,Iconography,No,None,,,,,,,,,,
BDV11,Bhadravati ,Sculpture (single),"Image of seated Sarasvati (presently displayed at Central Museum Nagpur (A 65) is holding a  book in upper right hand and lotus in upper left hand, other hands are broken.",13th Century AD,Iconography,No,None,,,,,,,,,,
BDV12,Bhadravathi (Bhandak fort),Sculpture (single),"Four armed Image of Parvati standing in tribhanga, holds, damaru, trisula, pasha and dhanushya in her hands.  She is wearing karandamukuta, big circular earrings, thick necklace, delicate katibandha, mekhala and nupuras. An oval halo, bulky thighs, broad shoulders and broad face.",12th century AD,Iconography,No,None,,,,,,,,,,
BGT03,Balaghat,Inscription (copperplate),"Copper plates of Prithvisen II; 5 plates; Box headed characters; length-6 3/4 inch, width- 4 inch. Only 3 plates have inscription (35 lines); seems to be incomplete.Following research completed by Mirashi, (p. 69), Balaghat has been identified as being the original discovery location of the copper plate inscription now housed in the Patna Museum. According to Mirashi, the plate was discovered during the excavations for the foundations of the new District Superintendent of Police's bungalow in the town, c. 1919. (pp.69-72).

The inscription, of which only one plate is now known, records the donation of the village of Sriparnaka by Pravarasena II to three beneficiaries: Gangarya, Vasurarya and Rudrrya. The charter was issued to replace an earlier grant of the village Manapallika. (Shastri, p.35).

The donation was made to augment the religious merit of Pravarasena II's mother, Prabhavati Gupta, indicating that she is still alive at the time of issue. However, as only one of the plates of this grant is known, the date and place of issue is not known.  (Shastri, p. 36)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
BJP01,Bhojapur,Sculpture (single),"Fragmentary stone sculpture, preserved in modern temple structure",Early Medieval,Stylistic,No,,,,,,,,,,,
BLA01,Bela,Sculpture (single),"Sculptures of Nandi, Siva-linga, naga and
some unidentified pieces
",Unknown,NA,No,None,,,,,,,,,,
BLL01,Bellora ,Inscription (copperplate),This inscription is inscribed by Senapati Chitravarma in Sankrit language and box headed script. It records the donation of village Dirghadhara (in Pakkana Rashtra) and village Mahallama-Lata (in Ash--Bhukti on the way to Shailapura) to Suryaswamin by Pravarsena II.,Vakataka (11th year of Pravarasena II reign),Epigraphic evidence,No,None,,,,,,,,,,
BLO02,Bellora,Inscription (copperplate),"This set of four copper plates were discovered in the village of Belora. Mirashi believed that the plates were from two different sets of charters (pp.16-21), whilst Shastri argues that the charter was originally three plates long but one of the plates was considered to be defective and so a new plate was created - however the old, wrong plate was never disposed of and additional plates were added to create a fake charter (Shastri, p. 15). According to Shastri this forgery took place at the time the charter was created and possibly had official 'collusion' in its creation. (Shastri, p.15).

The charter, dating to the 11th year of Pravarasena II reign, records the donation of the village Mahallalata to Suryasvamin.

location according to wikimapia. (http://wikimapia.org/#lat=21.3571762&lon=78.1996&z=15&l=0&m=b&search=belora)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
BLS01,Ballarsha,Sculpture (single),Buddha sculpture,Unknown,NA,Unknown,None,,,,,,,,,,
BML02,Brahmanpalli,Sculpture (multiple),"Sculptures of Uma Maheshwar, Brahma Mahishasurmardini, Ganesh, Surya, Navgraha, Vishnu and other sculptures",Unknown,NA,No,None,,,,,,,,,,
